Girls Pushups:
8, 6, 16
9, 7, 17
10, 7, 17
11, 8, 17
12, 8, 17
13, 8, 18
14, 9, 18
15, 9, 19
16, 9, 19
17, 9, 20
18, 9, 20

Boys Pushups:
8, 8, 20
9, 9, 21
10, 10, 22
11, 11, 23
12, 12, 24
13, 13, 25
14, 14, 26
15, 15, 27
16, 16, 28
17, 17, 29
18, 18, 30

Girls Mile:
8, 11, 15, 9, 30
9, 11, 0, 9, 15
10, 10, 45, 9, 0
11, 10, 30, 8, 45
12, 10, 15, 8, 30
13, 10, 0, 8, 15
14, 10, 0, 0, 8
15, 10, 8, 8, 0
16, 9, 45, 8, 0
17, 9, 45, 8, 0
18, 9, 45, 8, 0

Boys Mile:
8, 10,10,8,30
9, 9, 45, 8, 30
10, 9, 30, 8, 0
11, 9, 15, 7, 30
12, 9, 0, 7, 15
13, 8, 30, 7, 0
14, 8, 0, 6, 45
15, 7, 30, 6, 30
16, 7, 30, 6, 15
17, 7, 30, 6, 15
18, 7, 30, 6, 15

Girls Curlups:
8, 18, 40
9, 20, 43
10, 22, 46
11, 24, 49
12, 26, 52
13, 28, 55
14, 30, 58
15, 32, 60
16, 34, 60
17, 34, 60
18, 34, 60

Boys Curlups:
8, 18, 42
9, 20, 45
10, 22, 48
11, 25, 51
12, 28, 55
13, 30, 59
14, 32, 63
15, 34, 66
16, 36, 70
17, 36, 70
18, 36, 70

Girls Sit and Reach:
8, 26, 36
9, 26, 36
10, 26, 37
11, 26, 37
12, 26, 38
13, 27, 39
14, 27, 41
15, 27, 43
16, 27, 43
17, 27, 43
18, 27, 43

Boys Sit and Reach:
8, 25, 33
9, 25, 33
10, 25, 33
11, 25, 33
12, 25, 33
13, 25, 33
14, 25, 34
15, 26, 38
16, 26, 38
17, 26, 38
18, 26, 38



